,FY 05/06,FY 06/07,FY 07/08,FY 08/09,FY 09/10,FY 10/11,FY 11/12,FY 12/13,Location 1
0,32,36,34,32,27,26,36,16,"(34.30514302800049, -118.43521825999971)"
1,18,19,17,14,13,13,13,12,"(34.21867307400049, -118.59758676999968)"
2,62,66,58,65,55,52,44,36,"(34.14327419400047, -118.6628270279997)"
3,31,35,32,31,26,26,27,24,"(34.04886156900045, -118.53572692799969)"
4,47,52,50,49,41,41,44,26,"(34.16673287800046, -118.5162960619997)"
5,23,26,24,23,17,16,18,18,"(34.228570997000475, -118.2469491709997)"
6,98,99,93,90,84,82,82,37,"(34.06636325100044, -118.30164844599972)"
7,28,27,26,25,20,21,23,10,"(33.87544370900048, -118.28237834699968)"
8,117,119,107,106,101,102,101,8,"(34.059480762000476, -118.24204800599972)"
9,16,17,16,15,15,14,14,10,"(34.00387338200045, -118.30885680999972)"
10,28,31,29,27,22,21,23,20,"(34.274801855000476, -118.50113633899969)"
11,48,56,53,51,41,40,43,45,"(34.08553341500044, -118.4042687859997)"
12,24,24,23,23,21,20,21,11,"(34.00790120200048, -118.25903697699971)"
13,37,40,37,35,30,30,31,22,"(34.23552300500046, -118.54598982999971)"
14,26,28,25,24,19,19,20,16,"(34.25970296100047, -118.3244988299997)"
15,19,19,18,17,17,16,16,10,"(33.95386236800044, -118.2919460489997)"
16,44,41,38,37,34,35,37,13,"(33.95744265300044, -118.43916786999972)"
17,25,27,25,24,21,20,21,14,"(34.200180731000444, -118.54031959799971)"
18,62,61,60,59,55,54,55,10,"(34.10072355400047, -118.32821815499972)"
19,31,34,32,30,26,26,27,20,"(34.15306349100047, -118.43295885699968)"
20,20,21,19,18,17,17,17,9,"(34.11332407100048, -118.19142869099971)"
21,16,17,15,15,14,14,14,9,"(33.99258071300045, -118.4663762939997)"
22,29,31,29,28,24,24,25,16,"(34.181153951000454, -118.4348272089997)"
23,21,21,20,19,18,18,17,12,"(33.79380105600046, -118.3173599859997)"
24,28,30,27,27,25,25,25,11,"(34.00349102100046, -118.28709702299972)"
25,32,34,31,29,26,26,27,18,"(34.16615064800044, -118.39933720499971)"
26,15,16,15,14,13,13,13,9,"(33.98673233600044, -118.33290641599967)"
27,32,36,32,30,25,25,26,22,"(34.16201420300047, -118.59846880599969)"
28,18,19,18,17,15,15,15,11,"(34.13538366300048, -118.20684911499967)"
29,48,48,47,47,47,48,48,10,"(34.04012376300045, -118.26498963499972)"
30,37,38,38,36,32,31,31,6,"(34.019702237000445, -118.39595678999967)"
31,23,24,23,22,20,19,20,10,"(34.01097312100046, -118.34158773599972)"
32,29,33,30,28,25,25,26,17,"(34.115253253000446, -118.33141607799968)"
33,13,14,13,13,12,11,11,9,"(33.95687345800047, -118.3090784049997)"
34,41,42,41,39,35,33,33,11,"(34.04518134900047, -118.45025632399972)"
35,25,26,26,25,20,19,20,13,"(34.16767140000047, -118.34449888999967)"
36,23,24,22,22,19,19,20,20,"(34.03254172900046, -118.50584632399972)"
37,41,42,39,38,35,34,34,18,"(34.07572239300049, -118.30301712299968)"
38,20,21,19,18,17,16,17,11,"(33.94895251300045, -118.24697958699971)"
39,25,27,25,24,21,21,22,15,"(34.257261068000446, -118.41981955999972)"
40,31,35,32,31,26,26,27,20,"(34.15359358100045, -118.4596676059997)"
41,19,22,20,18,17,16,17,12,"(33.98651074000048, -118.36959998699967)"
42,20,21,20,18,16,15,16,12,"(34.25460192400044, -118.2872577869997)"
43,24,25,24,22,19,19,20,15,"(34.208401481000465, -118.5759399529997)"
44,19,19,18,18,16,16,16,10,"(34.08151428500048, -118.17678602299969)"
45,22,22,22,20,19,17,17,11,"(33.927010235000466, -118.24839605799968)"
46,42,47,44,41,35,34,36,24,"(34.23588364000045, -118.5210581879997)"
47,27,30,27,25,21,20,23,15,"(34.262123129000486, -118.46175755399969)"
48,6,7,7,6,7,6,7,7,"(34.01013019000044, -118.4726765529997)"
49,42,43,40,39,35,34,34,10,"(34.08898335000049, -118.32483774099973)"
50,27,29,27,26,24,24,24,13,"(34.167132618000494, -118.37252852099971)"
51,79,79,81,87,86,90,88,9,"(33.972932598000455, -118.42532902799968)"
52,36,40,37,35,31,31,32,21,"(34.15134286900047, -118.3690785869997)"
53,19,20,19,18,17,16,17,10,"(34.111603448000494, -118.2612572749997)"
54,24,26,25,23,18,18,20,18,"(34.197812702000476, -118.63800835599972)"
55,39,44,42,39,32,32,34,32,"(34.15384124700046, -118.4873366009997)"
56,25,26,24,23,19,19,19,14,"(34.286190115000466, -118.43744724799967)"
57,33,35,33,31,27,26,27,17,"(34.235514315000444, -118.4752661759997)"
58,33,34,31,31,29,28,29,14,"(34.07316318500045, -118.37406665299972)"
59,33,35,33,32,27,29,29,12,"(33.961522614000444, -118.39344972199967)"
60,160,164,175,176,164,157,154,11,"(34.05230281300044, -118.26338632799968)"
61,138,138,129,128,119,120,119,9,"(34.06139256500046, -118.30969974099969)"
62,25,27,25,24,21,21,22,14,"(34.035413777000485, -118.4321767559997)"
63,39,43,41,38,32,32,35,24,"(34.178642539000464, -118.60957898599969)"
64,53,55,45,43,37,35,35,14,"(34.199811405000446, -118.48688906499967)"
65,17,17,16,15,14,14,14,9,"(34.10881395500047, -118.22766603799971)"
66,24,24,23,22,22,20,19,9,"(34.07687382000046, -118.26535895999967)"
67,12,15,12,11,10,9,9,9,"(33.76310359300044, -118.3666584179997)"
68,39,42,41,39,34,33,34,14,"(34.198251548000485, -118.33049928199972)"
